Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,Over 23 Years,1,Social Service Evening,Evening,Secondary Education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,148.5,No,No,No,Paid,Male,No,34,No,0,6,6,4,12.25,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
Single,Phase 2 - General,5,Informatics Engineering,Daytime,Secondary Education,138.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Service,Service,123.3,Yes,No,Yes,Paid,Male,No,18,No,0,5,9,4,12.5,0,0,5,11,5,11.285714285714286,0,12.4,0.5,1.79,Enrolled
Married,Over 23 Years,1,Management Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Legislative,Admin,138.7,No,No,No,Paid,Male,No,43,No,0,5,5,5,13.8,0,0,5,6,5,13.666666666666666,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,2,Tourism,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Machine Operator,117.2,No,No,No,Paid,Male,No,21,No,0,6,8,3,12.0,0,0,6,9,1,11.0,0,15.5,2.8,-4.06,Dropout
Married,Over 23 Years,1,Management Evening,Evening,Secondary Education,160.0,Portuguese,Unknown,Unknown,Unknown,Unknown,114.3,No,No,No,Paid,Male,No,40,No,0,5,9,3,11.0,0,0,5,8,4,12.5,1,7.6,2.6,0.32,Enrolled
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,134.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Service,Service,125.3,Yes,No,No,Paid,Male,Yes,19,No,0,6,7,4,13.75,0,0,6,10,6,11.555555555555555,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Tourism,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Legislative,Legislative,97.0,No,No,No,Paid,Male,No,27,No,0,6,6,6,10.666666666666666,0,0,6,8,4,11.25,0,10.8,1.4,1.74,Enrolled
Married,Transfer,1,Oral Hygiene,Daytime,Secondary Education,110.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Agriculture,140.0,No,No,No,Paid,Male,No,43,No,0,7,7,0,0.0,0,0,8,13,2,13.15,0,16.2,0.3,-0.92,Dropout
Single,Course Change,1,Management Evening,Evening,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,124.0,No,No,No,Paid,Male,No,31,No,1,5,6,5,13.833333333333334,0,0,5,7,5,15.4,0,9.4,-0.8,-3.12,Graduate
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,140.0,Portuguese,Basic Ed 2nd Cycle,Secondary Ed,Social Technician,Social Technician,140.0,Yes,No,Yes,Paid,Male,No,26,No,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled
Single,Over 23 Years,1,Management Evening,Evening,Secondary Education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Food Processing,Armed Forces Personnel,127.0,No,No,No,Paid,Male,No,34,No,0,5,5,5,15.8,0,0,5,5,5,16.8,0,8.9,1.4,3.51,Graduate
Divorced,Course Change,1,Nursing,Daytime,Basic Ed 3rd Cycle,100.0,Portuguese,Unknown,Unknown,Student,Student,110.0,No,No,No,Paid,Male,No,30,No,11,14,26,12,12.52608695652174,1,11,14,26,12,12.52608695652174,1,7.6,2.6,0.32,Graduate
Married,Over 23 Years,1,Nursing,Daytime,Basic Ed 3rd Cycle,133.1,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Industry,Machine Operator,170.0,No,No,No,Paid,Male,No,36,No,0,7,9,6,12.783333333333331,0,0,8,11,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Higher Course Holders,1,Management Evening,Evening,Degree,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Agriculture,Industry,120.0,No,No,Yes,Unpaid,Male,No,46,No,0,5,5,0,0.0,0,0,5,5,1,10.0,0,11.1,0.6,2.02,Dropout
Single,Phase 2 - General,1,Veterinary Nursing,Daytime,Secondary Education,133.1,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Service,Unskilled,130.0,No,No,No,Paid,Male,No,22,No,0,5,8,3,13.0,0,0,5,8,3,10.666666666666666,0,7.6,2.6,0.32,Graduate
Single,Higher Course Holders,1,Agronomy,Daytime,Degree,130.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Service,Unskilled,130.0,No,No,No,Paid,Male,No,27,No,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,Phase 1 - General,2,Informatics Engineering,Daytime,Secondary Education,126.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Office Worker,Unskilled Agriculture,122.5,Yes,No,No,Paid,Male,No,20,No,0,5,7,5,10.8,0,0,5,9,3,12.0,0,8.9,1.4,3.51,Enrolled
Single,Institution Change,1,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Machine Operator,115.7,No,No,No,Paid,Male,No,20,No,0,5,7,5,11.0,0,0,5,7,3,10.0,0,8.9,1.4,3.51,Enrolled
Single,Transfer,1,Informatics Engineering,Daytime,Secondary Education,140.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Other,Other,120.0,No,No,Yes,Unpaid,Male,No,31,No,0,4,4,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Phase 1 - General,1,Informatics Engineering,Daytime,Secondary Education,140.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,166.0,Yes,No,Yes,Paid,Male,No,20,No,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled
Single,Phase 2 - General,1,Journalism,Daytime,Secondary Education,145.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Other,Machine Operator,132.8,Yes,No,No,Unpaid,Male,No,21,No,0,6,10,2,12.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Phase 2 - General,1,Management,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Industry,100.0,No,No,No,Paid,Male,No,21,No,0,5,7,4,10.75,0,0,5,10,2,11.0,3,16.2,0.3,-0.92,Dropout
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Master,Unskilled,Armed Forces,121.8,No,No,No,Paid,Male,No,19,No,0,5,8,5,11.6,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Graduate
Single,Phase 2 - General,4,Management,Daytime,Secondary Education,114.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Admin,109.5,Yes,No,No,Paid,Male,Yes,20,No,0,5,6,5,11.8,0,0,5,8,4,11.6,0,8.9,1.4,3.51,Graduate
Single,Phase 1 - General,1,Agronomy,Daytime,Secondary Education,140.0,Portuguese,Basic Ed 2nd Cycle,Secondary Ed,Unskilled,Admin,138.3,No,No,No,Paid,Male,No,18,No,0,6,7,6,16.0,0,0,6,6,6,15.166666666666666,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,2,Journalism,Daytime,Secondary Education,140.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Technician,131.6,No,No,No,Paid,Male,Yes,18,No,0,6,6,6,12.666666666666666,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate
Single,Over 23 Years,1,Nursing,Daytime,Secondary Education,120.0,Portuguese,Secondary Ed,Bachelor,Admin Support,Teacher,125.3,No,No,Yes,Paid,Male,No,30,No,0,7,12,4,14.4,0,0,7,9,6,13.5,0,12.4,0.5,1.79,Enrolled
Single,Over 23 Years,1,Tourism,Daytime,Basic Ed 3rd Cycle,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Technician,Legislative,101.5,No,No,Yes,Unpaid,Male,No,34,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,115.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Cleaning,Construction,109.1,No,No,Yes,Unpaid,Male,No,21,No,0,6,11,4,12.25,0,0,6,9,4,13.4,0,11.1,0.6,2.02,Enrolled
Single,Tech Diploma,1,Communication Design,Daytime,Tech Specialization,123.9,Portuguese,Basic Ed 1st Cycle,Secondary Ed,Unskilled,Industry,123.9,No,No,No,Paid,Male,No,20,No,2,7,9,5,12.6,0,5,9,10,8,12.75,1,16.2,0.3,-0.92,Dropout
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,157.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,143.0,No,No,No,Paid,Male,No,18,No,0,8,8,7,13.4,0,0,8,8,7,13.4,0,12.7,3.7,-1.7,Graduate
Single,Phase 1 - General,1,Animation Design,Daytime,Secondary Education,127.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Technician,126.3,Yes,No,Yes,Paid,Male,No,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Married,Transfer,1,Agronomy,Daytime,Secondary Education,120.0,Portuguese,Degree,Secondary Ed,Scientific,Scientific,113.3,No,No,No,Paid,Male,No,26,No,0,6,9,1,10.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Phase 2 - General,1,Informatics Engineering,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Industry,Technician,119.9,Yes,No,Yes,Paid,Male,No,20,No,0,5,5,0,0.0,0,0,5,5,0,0.0,5,9.4,-0.8,-3.12,Dropout
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,140.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Legislative,Unskilled,140.0,No,No,No,Paid,Male,No,25,No,0,6,16,3,11.25,0,0,6,14,4,11.2,0,15.5,2.8,-4.06,Dropout
Single,Phase 2 - General,1,Marketing,Daytime,Secondary Education,109.0,Portuguese,Secondary Ed,Secondary Ed,Admin,Admin,108.0,No,No,No,Paid,Male,No,19,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,Over 23 Years,2,Management,Daytime,Secondary Education,143.0,Portuguese,Basic Ed 3rd Cycle,Doctorate,Admin,Legislative,100.0,Yes,No,No,Paid,Male,No,24,No,0,5,8,3,10.666666666666666,1,0,5,5,1,14.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,125.0,Portuguese,Degree,Degree,Scientific,Scientific,132.4,No,No,No,Paid,Male,No,20,No,0,5,7,4,11.75,0,0,5,5,5,13.4,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,1,Management,Daytime,Secondary Education,136.0,Portuguese,Secondary Ed,Degree,Unskilled,Service,137.1,No,No,No,Paid,Male,No,20,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Phase 1 - Azores,3,Communication Design,Daytime,Secondary Education,157.0,Portuguese,Degree,Secondary Ed,Unskilled,Agriculture,138.1,Yes,No,No,Paid,Female,No,18,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.125,0,10.8,1.4,1.74,Graduate
Divorced,Over 23 Years,1,Oral Hygiene,Daytime,Secondary Education,160.0,Portuguese,Basic Ed 3rd Cycle,Degree,Unskilled,Scientific,130.0,No,No,No,Paid,Female,No,25,No,0,7,14,7,11.95,0,0,8,15,7,12.042857142857144,0,12.7,3.7,-1.7,Enrolled
Single,Phase 2 - General,1,Tourism,Daytime,Secondary Education,116.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Unskilled,Agriculture,109.7,Yes,No,No,Paid,Female,No,22,No,0,6,7,5,14.0,0,0,6,6,6,15.666666666666666,0,11.1,0.6,2.02,Graduate
Single,Course Change,1,Social Service Evening,Evening,Secondary Education,113.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Student,Agriculture,128.2,No,No,No,Unpaid,Female,No,41,No,0,6,6,0,0.0,6,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,Phase 1 - General,2,Management,Daytime,Secondary Education,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Industry,Unskilled,117.8,No,No,Yes,Paid,Female,Yes,19,No,0,5,11,2,11.5,0,0,5,10,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Course Change,1,Equinculture,Daytime,Secondary Education,150.0,Portuguese,Degree,Degree,Technician,Admin,150.0,Yes,No,No,Paid,Female,No,21,No,0,6,10,6,12.0,0,0,6,12,5,12.8,0,13.9,-0.3,0.79,Graduate
Single,Over 23 Years,1,Veterinary Nursing,Daytime,Secondary Education,110.0,Portuguese,Secondary Ed,Secondary Ed,Service,Service,160.0,Yes,No,Yes,Paid,Female,No,30,No,0,6,7,6,16.428571428571427,0,0,6,7,6,16.666666666666668,0,13.9,-0.3,0.79,Dropout
Single,Phase 1 - General,5,Nursing,Daytime,Secondary Education,101.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,104.5,Yes,No,No,Paid,Female,Yes,21,No,0,7,9,5,13.336000000000002,0,0,8,9,7,13.207142857142856,0,11.1,0.6,2.02,Graduate
Married,Over 23 Years,2,Oral Hygiene,Daytime,Secondary Education,110.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,112.8,No,No,No,Paid,Female,Yes,26,No,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled
Single,International Student,1,Marketing,Daytime,Secondary Education,133.1,Brazilian,Secondary Ed,Secondary Ed,Unskilled,Admin,100.0,No,No,No,Paid,Female,No,21,Yes,2,7,9,7,14.666666666666666,0,1,6,8,6,14.0,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,138.0,Portuguese,Secondary Ed,Secondary Ed,Technician,Admin,132.5,Yes,No,No,Paid,Female,No,18,No,0,8,8,7,14.115714285714288,0,0,8,8,7,14.115714285714288,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,4,Veterinary Nursing,Daytime,Secondary Education,138.0,Portuguese,Degree,Secondary Ed,Legislative,Admin,123.3,Yes,No,No,Paid,Female,Yes,19,No,0,6,7,6,14.857142857142858,0,0,6,10,6,13.11111111111111,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,2,Veterinary Nursing,Daytime,Secondary Education,141.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Unskilled,Machine Operator,128.9,Yes,No,No,Paid,Female,Yes,18,No,0,6,7,6,13.833333333333334,0,0,6,10,6,13.714285714285714,0,8.9,1.4,3.51,Graduate
Single,Phase 2 - General,2,Management,Daytime,Secondary Education,129.0,Portuguese,Bachelor,Degree,Scientific,Scientific,128.3,Yes,No,No,Paid,Female,No,19,No,0,5,10,3,11.0,0,0,5,9,4,11.75,0,12.7,3.7,-1.7,Enrolled
Single,Course Change,1,Veterinary Nursing,Daytime,Secondary Education,127.0,Portuguese,Degree,Degree,Scientific,Service,100.0,No,No,No,Paid,Female,No,21,No,0,6,11,4,11.75,0,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,Enrolled
Single,Phase 2 - General,2,Management,Daytime,Secondary Education,133.0,Portuguese,Basic Ed 3rd Cycle,Secondary Ed,Unskilled,Technician,120.1,Yes,No,No,Paid,Female,Yes,18,No,0,5,15,2,10.0,0,0,5,14,2,12.0,0,13.9,-0.3,0.79,Dropout
Single,Over 23 Years,1,Nursing,Daytime,Secondary Education,100.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Industry,Industry,160.0,Yes,No,No,Paid,Female,Yes,24,No,0,8,15,6,12.415,0,0,8,15,6,12.415,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,138.0,Portuguese,Master,Doctorate,Scientific,Scientific,123.0,Yes,No,No,Paid,Female,No,21,No,0,5,12,1,11.0,0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Enrolled
Single,Tech Diploma,1,Veterinary Nursing,Daytime,Tech Specialization,150.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Unskilled,Unskilled,150.0,Yes,No,No,Paid,Female,No,23,No,1,6,14,5,14.428571428571429,0,1,6,7,6,13.428571428571429,0,16.2,0.3,-0.92,Graduate
Single,Phase 2 - General,2,Nursing,Daytime,Secondary Education,129.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Service,Industry,124.0,Yes,No,No,Paid,Female,Yes,18,No,0,8,8,7,14.312857142857142,0,0,8,8,7,14.312857142857142,0,10.8,1.4,1.74,Graduate
Single,Over 23 Years,1,Veterinary Nursing,Daytime,Secondary Education,130.0,Portuguese,Master,Secondary Ed,Scientific,Unskilled,120.0,No,No,No,Unpaid,Female,No,26,No,0,6,8,6,15.428571428571429,0,0,6,7,5,14.5,0,11.1,0.6,2.02,Enrolled
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,133.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Service,Machine Operator,120.4,Yes,No,No,Paid,Female,No,20,No,0,5,9,4,12.0,1,0,5,6,5,13.4,0,9.4,-0.8,-3.12,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,133.0,Portuguese,Master,Secondary Ed,Service,Service,131.6,No,No,No,Paid,Female,No,18,No,0,6,7,6,13.833333333333334,0,0,6,7,6,13.714285714285714,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,107.0,Portuguese,Bachelor,Other 11th,Technician,Armed Forces,104.2,Yes,No,No,Paid,Female,No,20,No,0,6,6,6,12.166666666666666,0,0,6,7,6,12.142857142857142,0,11.1,0.6,2.02,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,131.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Admin,122.0,Yes,No,No,Paid,Female,No,20,No,0,8,8,7,14.014285714285714,0,0,8,8,7,14.014285714285714,0,12.7,3.7,-1.7,Enrolled
Single,Phase 2 - General,2,Social Service,Daytime,Secondary Education,118.0,Portuguese,Secondary Ed,Basic Ed 3rd Cycle,Admin,Armed Forces,110.7,Yes,Yes,No,Paid,Female,No,18,No,0,6,15,2,10.333333333333334,3,0,6,13,3,13.333333333333334,0,12.7,3.7,-1.7,Enrolled
Single,Phase 1 - General,4,Journalism,Daytime,Secondary Education,136.0,Portuguese,Secondary Ed,Other 11th,Unskilled,Armed Forces,121.7,Yes,No,No,Paid,Female,Yes,22,No,0,6,7,5,13.2,0,0,6,7,5,13.6,0,12.4,0.5,1.79,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,125.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,126.0,Yes,No,Yes,Paid,Female,No,20,No,0,7,7,6,15.4,0,0,7,7,6,15.4,0,7.6,2.6,0.32,Graduate
Single,Phase 2 - General,4,Nursing,Daytime,Secondary Education,137.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Unskilled,Unskilled,128.4,Yes,No,No,Paid,Female,Yes,19,No,0,7,7,7,13.385714285714286,0,0,8,8,8,15.925,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,1,Equinculture,Daytime,Secondary Education,144.0,Portuguese,Degree,Secondary Ed,Scientific,Admin,134.9,Yes,No,Yes,Paid,Female,No,18,No,0,6,13,6,10.857142857142858,0,0,6,10,4,11.0,0,15.5,2.8,-4.06,Dropout
Single,Phase 2 - General,2,Management,Daytime,Secondary Education,146.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 1st Cycle,Agriculture,Agriculture,143.9,No,No,No,Paid,Female,No,18,No,0,5,11,5,11.333333333333334,0,0,5,8,5,12.0,0,13.9,-0.3,0.79,Graduate
Single,Phase 1 - General,4,Veterinary Nursing,Daytime,Secondary Education,145.0,Portuguese,Basic Ed 1st Cycle,Secondary Ed,Unskilled,Unskilled,145.0,Yes,No,No,Paid,Female,Yes,19,No,0,5,7,4,14.5,0,0,5,5,5,13.6,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,2,Communication Design,Daytime,Secondary Education,126.0,Portuguese,Basic Ed 3rd Cycle,Basic Ed 2nd Cycle,Unskilled,Unskilled,132.0,Yes,No,No,Paid,Female,Yes,19,No,0,6,6,6,14.166666666666666,0,0,6,8,6,12.375,0,10.8,1.4,1.74,Graduate
Single,Phase 2 - General,1,Social Service Evening,Evening,Secondary Education,141.0,Portuguese,Unknown,Unknown,Student,Student,136.1,No,No,No,Paid,Female,No,24,No,0,6,7,6,12.833333333333334,0,0,6,8,6,12.0,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,141.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Admin,Admin,138.9,No,No,No,Paid,Female,No,21,No,0,6,7,6,13.333333333333334,0,0,6,6,6,14.5,0,10.8,1.4,1.74,Graduate
Single,Phase 1 - General,1,Social Service,Daytime,Secondary Education,133.1,Portuguese,Secondary Ed,Secondary Ed,Technician,Technician,102.0,Yes,No,No,Paid,Female,Yes,20,No,0,6,7,6,13.666666666666666,0,0,6,7,6,14.571428571428571,0,11.1,0.6,2.02,Graduate
Single,Over 23 Years,1,Tourism,Daytime,Secondary Education,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 3rd Cycle,Admin,Industry,123.0,No,No,Yes,Unpaid,Female,Yes,28,No,0,6,6,6,10.833333333333334,0,0,6,7,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,Phase 1 - General,2,Basic Education,Daytime,Secondary Education,127.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 3rd Cycle,Unskilled,Machine Operator,137.5,Yes,No,No,Paid,Female,No,21,No,0,6,7,6,13.428571428571429,0,0,6,8,6,13.142857142857142,0,7.6,2.6,0.32,Graduate
Single,Phase 1 - General,1,Nursing,Daytime,Secondary Education,106.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 2nd Cycle,Cleaning,Subsistence Farmer,102.2,Yes,No,Yes,Paid,Male,No,20,No,0,7,7,7,12.401428571428571,0,0,8,10,6,11.808333333333332,0,11.1,0.6,2.02,Enrolled
Single,Transfer,1,Agronomy,Daytime,Secondary Education,130.0,Portuguese,Degree,Bachelor,Scientific,Agriculture,105.3,No,No,No,Unpaid,Male,No,36,No,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout
Married,Over 23 Years,1,Management Evening,Evening,Secondary Education,110.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,130.0,No,No,No,Unpaid,Male,No,42,No,0,4,4,0,0.0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Married,Over 23 Years,1,Management Evening,Evening,Secondary Education,150.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Industry,122.5,No,No,No,Paid,Male,No,47,No,0,5,9,4,11.5,0,0,5,6,5,11.6,1,7.6,2.6,0.32,Dropout
Single,Over 23 Years,1,Informatics Engineering,Daytime,Secondary Education,160.0,Portuguese,Secondary Ed,Basic Ed 2nd Cycle,Admin,Industry,112.0,No,No,No,Unpaid,Male,No,25,No,0,5,8,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout
Single,Over 23 Years,1,Marketing,Daytime,Other 11th,170.0,Portuguese,Secondary Ed,Basic Ed 1st Cycle,Technician,Service,110.0,No,No,No,Paid,Male,Yes,25,No,0,6,8,6,14.142857142857142,0,0,6,6,6,13.5,0,15.5,2.8,-4.06,Graduate
Married,Over 23 Years,1,Social Service Evening,Evening,Basic Ed 3rd Cycle,133.1,Portuguese,Basic Ed 3rd Cycle,Basic Ed 1st Cycle,Agriculture,Machine Operator,149.5,No,No,No,Paid,Male,No,48,No,0,6,6,0,0.0,0,0,5,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Course Change,1,Management Evening,Evening,Secondary Education,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,141.0,No,No,No,Paid,Male,Yes,32,No,5,10,12,10,13.8,0,5,10,10,10,12.8,0,10.8,1.4,1.74,Graduate
Single,Higher Course Holders,1,Management Evening,Evening,Degree 1st Cycle,130.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 2nd Cycle,Unskilled,Industry,130.0,No,No,No,Paid,Male,No,38,No,10,10,10,10,13.6,0,5,10,10,5,13.6,0,8.9,1.4,3.51,Dropout
Single,Higher Course Holders,1,Social Service,Daytime,Degree 1st Cycle,130.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Service,Service,130.0,No,No,No,Paid,Male,No,37,No,11,16,23,15,11.733333333333333,0,6,11,17,9,11.88888888888889,0,15.5,2.8,-4.06,Graduate
Single,Over 23 Years,2,Management,Daytime,Secondary Education,120.0,Portuguese,Basic Ed 1st Cycle,Basic Ed 1st Cycle,Unskilled,Unskilled,104.0,No,No,No,Unpaid,Male,No,26,No,0,5,8,1,10.0,0,0,5,9,1,10.0,0,10.8,1.4,1.74,Dropout
Single,Tech Diploma,1,Veterinary Nursing,Daytime,Tech Specialization,110.0,Portuguese,Degree,Doctorate,Scientific,Scientific,110.0,No,No,No,Paid,Male,No,23,No,0,6,19,0,0.0,0,0,6,6,0,0.0,0,13.9,-0.3,0.79,Dropout
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,120.0,Portuguese,Basic Ed 2nd Cycle,Basic Ed 3rd Cycle,Technician,Service,120.0,No,No,No,Paid,Male,No,23,No,0,6,6,0,0.0,0,0,6,8,0,0.0,0,15.5,2.8,-4.06,Enrolled
Single,Tech Diploma,1,Agronomy,Daytime,Tech Specialization,130.0,Portuguese,Bachelor,Degree,Unskilled,Agriculture,130.0,No,No,No,Paid,Male,No,20,No,0,6,12,4,10.8,0,0,6,13,4,12.0,0,12.4,0.5,1.79,Enrolled
Single,Over 23 Years,1,Nursing,Daytime,Master Degree,150.0,Portuguese,Degree,Basic Ed 2nd Cycle,Technician,Industry,127.0,Yes,No,No,Paid,Male,No,26,No,2,7,8,6,13.046666666666669,0,2,8,10,7,13.30625,0,11.1,0.6,2.02,Dropout
